CustomerID,Email
CM009,h2855000@gmail.com
CM033,p1091150@gmail.com
CM026,p281440@gmail.com
CM057,y1820327@gmail.com
CM011,j1326686@gmail.com
CM001,s4062210@gmail.com
CM010,n1828491@gmail.com
CM028,n3798729@gmail.com
CM027,c3614834@gmail.com
CM052,f2379233@gmail.com
CM045,s1766344@gmail.com
CM046,r597878@gmail.com
CM007,q503390@gmail.com
CM038,g1603043@gmail.com
CM016,z342100@gmail.com
CM041,r4360978@gmail.com
CM013,n1767945@gmail.com
CM054,b1236763@gmail.com
CM036,h1965607@gmail.com
CM024,h4236301@gmail.com
CM034,o682657@gmail.com
CM038,p3312743@gmail.com
CM007,x2841486@gmail.com
CM037,u1867404@gmail.com
CM022,t2757080@gmail.com
CM047,b1881090@gmail.com
CM018,v2540453@gmail.com
CM007,e553298@gmail.com
CM014,a2003715@gmail.com
CM024,c4221789@gmail.com
CM040,x4439805@gmail.com
CM049,a2292186@gmail.com
CM051,q3748287@gmail.com
CM002,a1651098@gmail.com
CM047,s1412014@gmail.com
CM002,c2932052@gmail.com
CM032,z3495475@gmail.com
CM002,c3510057@gmail.com
CM002,s3445957@gmail.com
CM048,q1700419@gmail.com
CM002,k982847@gmail.com
CM047,n3110748@gmail.com
CM039,c2171264@gmail.com
CM057,x3666012@gmail.com
CM060,z631748@gmail.com
CM056,d3487031@gmail.com
CM011,w4075553@gmail.com
CM046,t2285450@gmail.com
CM053,i1580119@gmail.com
CM017,i262343@gmail.com
CM056,o1480921@gmail.com
CM018,y1713454@gmail.com
CM042,j2116718@gmail.com
CM042,m4516769@gmail.com
CM005,o1804882@gmail.com
CM051,p4357367@gmail.com
CM055,d1474269@gmail.com
CM056,c410804@gmail.com
CM016,t1440733@gmail.com
CM014,f615650@gmail.com
CM035,e3829950@gmail.com
CM047,p443957@gmail.com
CM047,n2796517@gmail.com
CM008,y3140086@gmail.com
CM044,j1107749@gmail.com
CM056,y662276@gmail.com
CM022,s3697556@gmail.com
CM052,o4509952@gmail.com
CM052,y3164156@gmail.com
